Active,Name,Task Nesting,Actual Dates Enabled,Actual Start,Actual End,Planned Dates Enabled,Planned Start,Planned End,Task Type,Attached,Script,Data Source,Synchronization ID,Display ID,Animation,Animation Behavior,Provided Progress %,Comments,Material Cost,Labor Cost,Equipment Cost,Subcontractor Cost,User 1,User 2,User 3,User 4,User 5,User 6,User 7,User 8,User 9,User 10
1,00 PILES-95,3,1,,,1,,,Construct,,,,,b3f4bcf4-d981-5bd9-8b33-ea564188e72f,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-30,3,1,,,1,,,Construct,,,,,209ebc75-5743-5f14-b8cb-0b559daf8001,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-37,3,1,,,1,,,Construct,,,,,8efc6c85-aef6-5274-9f69-b5dc282f5545,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-96,3,1,,,1,,,Construct,,,,,a5707f8d-d43d-5d2d-aa47-4e9067ac3064,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-31,3,1,,,1,,,Construct,,,,,b93277fa-a96d-5291-838d-bae7c19fe758,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-36,3,1,,,1,,,Construct,,,,,103d3267-2981-5111-98fe-c7dbe9fb8af3,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-97,3,1,,,1,,,Construct,,,,,3fc37f89-2492-55b3-ba54-fe15020171e8,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-32,3,1,,,1,,,Construct,,,,,6ba6e9ee-76ff-5c55-8486-25a22815b793,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-35,3,1,,,1,,,Construct,,,,,f3bce0be-78ee-5344-9fc3-7d2a39ca4626,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-98,3,1,,,1,,,Construct,,,,,8e83ef80-4122-5514-be2e-075d15366aba,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
